bioguide,facebook,facebook_id,govtrack,instagram,instagram_id,thomas,twitter,twitter_id,youtube,youtube_id
M001176,jeffmerkley,74374931545,412325.0,senjeffmerkley,501463589.0,01900,SenJeffMerkley,29201047.0,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ
M001170,senatormccaskill,131498087618,412243.0,clairecmc,182810702.0,01820,McCaskillOffice,57065141.0,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw
M001166,jerrymcnerney,215241308510238,412189.0,,,01832,RepMcNerney,385429543.0,RepJerryMcNerney,UClUOx6F8GKshxGBUBLkisug
M001165,CongressmanKevinMcCarthy,51052893175,412190.0,RepKevinMcCarthy,,01833,GOPLeader,19739126.0,repkevinmccarthy,UCdJUZUFSLJRlUpE-91-6DsA
M001163,doris.matsui,,400663.0,,,01814,DorisMatsui,38254095.0,RepDorisMatsui,UCSqqxVkvskHq3cY2MCbTZsw
M001160,GwenSMoore,58864029545,400661.0,,,01811,RepGwenMoore,22669526.0,RepGwenMoore,UCCs9o1XaSsCsqNpO0iO0_Ew
M001159,mcmorrisrodgers,321618789771,400659.0,,,01809,CathyMcMorris,17976923.0,mcmorrisrodgers,UCRp0lwIxAhq2Ia9_YgRWUkg
M001158,RepKennyMarchant,6349487899,400656.0,,,01806,RepKenMarchant,23976316.0,RepKennyMarchant,UCQpnTMp5TdTRWEes8cjIfyQ
M001157,michaeltmccaul,6355254859,400654.0,,,01804,RepMcCaul,26424123.0,MichaelTMcCaul,UCRw6sGE0PH7_FCeTT3PQRaA
M001156,CongressmanMcHenry,8045519803,400644.0,reppatrickmchenry,353406473.0,01792,PatrickMcHenry,27676828.0,CongressmanMcHenry,UCY3PTRhkSH-eoltxPVZKD-w
M001153,SenLisaMurkowski,25271170290,300075.0,,,01694,LisaMurkowski,18061669.0,senatormurkowski,UCaigku16AErqvD0wRuwGb9A
M001151,reptimmurphy,105769762798552,400285.0,,,01744,RepTimMurphy,117777832.0,TimMurphyPA18,UCmMrDji88FxLeqgin2ehA9A
M001143,repbettymccollum,153386471383393,400259.0,,,01653,BettyMcCollum04,516880804.0,,
M001137,gregorymeeksny05,1557025818,400271.0,,,01506,GregoryMeeks,22812754.0,gwmeeks,UCljJnwgQS6Z6-NypDyqKJZQ
